Title,30dVolume,30dSales,30dAvg Price,Floor Price,Items
Karafuru,35848.15,8784.0,4.08,2.3,5554.0
Azuki,34218.46,2476.0,13.82,9.99,10000.0
Bored Ape,31983.18,299.0,106.97,82.0,10000.0
Crypto Punks,32058.03,319.0,100.5,,9999.0
Invisible Friends,29476.04,3334.0,8.84,8.3,5000.0
Clonex,28571.53,1514.0,18.87,12.0,18961.0
3Landers,22213.6,13667.0,1.63,1.73,10000.0
Mutant Ape,21222.19,1015.0,20.91,16.49,17987.0
NFT Worlds,20633.84,1866.0,11.06,9.89,10000.0
mfers,20025.87,6951.0,2.88,2.5,10020.0
Hape Prime,19253.02,3477.0,5.54,1.49,8192.0
Cool Pets,16716.32,7658.0,2.18,1.3,18647.0
RTFKT,16389.63,3577.0,4.58,4.88,1.0
Tubby Cats,14423.36,19478.0,0.74,0.34,20000.0
Pixel Mongen,12885.02,10469.0,1.23,0.25,10005.0
Sandbox,12570.64,3057.0,4.11,2.97,164817.0
Doodles,10955.86,787.0,13.92,10.0,10000.0
Tasty Bones,9808.21,6055.0,1.62,0.63,5049.0
Raid Party,8914.39,4629.0,1.93,0.8,5337.0
Edenhorde,8236.08,9415.0,0.87,0.38,8676.0
Wonderpals,7955.47,8028.0,0.99,0.62,10000.0
Cool Cats,7612.54,762.0,9.99,7.14,9941.0
Cat Blox,7398.9,13537.0,0.55,0.24,9999.0
World Wide Web,7260.57,2488.0,2.92,1.83,9508.0
Super Normal,6581.91,3720.0,1.77,0.44,8888.0
Star Cat,6868.5,8904.0,0.77,0.38,10000.0
The Other Side,6847.88,10971.0,0.62,0.28,8888.0
Live of Asuna,6685.99,7162.0,0.93,0.22,10000.0
Hype Bear,6217.52,9315.0,0.67,0.15,9999.0
Decentraland,6575.73,737.0,8.92,4.57,97331.0
